zip,city
2174,Arlington
2176,Melrose
2178,Belmont
2180,Stoneham
2181,Wellesley
2184,Braintree
2186,Milton
2188,Weymouth
2189,Weymouth
2190,Weymouth
2191,Weymouth
2192,Needham
2193,Weston
2194,Needham
2199,Boston
2210,Boston
2215,Boston
2322,Avon
2324,Bridgewater
2330,Carver
2332,Duxbury
2333,East Bridgewater
2338,Halifax
2339,Hanover
2341,Hanson
2343,Holbrook
2346,Middleboro
2347,Lakeville
2351,Abington
2356,North Easton
2359,Pembroke
2360,Plymouth
2364,Kingston
2367,Plympton
2368,Randolph
2370,Rockland
2375,South Easton
2379,West Bridgewater
2382,Whitman
2401,Brockton
2402,Brockton
2532,Onset
2535,Chilmark
2536,Teaticket
2537,East Sandwich
2538,East Wareham
2539,Edgartown
2540,Falmouth
2542,Otis A F B
2543,Woods Hole
2554,Nantucket
2556,North Falmouth
2559,Pocasset
2563,Sandwich
2568,Vineyard Haven
2571,Wareham
2575,West Tisbury
2576,West Wareham
2601,West Yarmouth
2630,Barnstable
2631,Brewster
2632,Centerville
2633,South Chatham
2635,Cotuit
2638,Dennis
2639,Dennis Port
2642,Eastham
2644,Forestdale
2645,Harwich
2646,Harwich Port
2648,Marstons Mills
2649,Mashpee
2650,North Chatham
2652,North Truro
2653,Orleans
2655,Osterville
2657,Provincetown
2659,South Chatham
2660,South Dennis
2664,Bass River
2666,Truro
2667,Wellfleet
2668,West Barnstable
2670,West Dennis
2671,West Harwich
2673,West Yarmouth
2675,Yarmouth Port
2702,Assonet
2703,Attleboro
2713,Cuttyhunk
2715,Dighton
2717,East Freetown
2718,East Taunton
2719,Fairhaven
2720,Fall River
2721,Fall River
2723,Fall River
2724,Fall River
2725,Somerset
2726,Somerset
2738,Marion
2739,Mattapoisett
2740,New Bedford
2743,Acushnet
2744,New Bedford
2745,New Bedford
2746,New Bedford
2747,North Dartmouth
2748,Padanaram Villag
2760,North Attleboro
2762,Plainville
2763,North Attleboro
2764,North Dighton
2766,Norton
2767,Raynham
2769,Rehoboth
2770,Rochester
2771,Seekonk
2777,Swansea
2779,Berkley
2780,Taunton
2790,Westport
